"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-4.052756751752,-4.04275,-4.03346425252144,6726.5,0.95,-6.5482,-1.56402,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.476588996333333,0.4763315,0.476400762569829,12688.5,0.95,0.35266,0.597048,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-0.00813499320466667,-0.00810359,-0.00808900498868893,677.1,0.95,-0.0102921,-0.0060064,NA,NA,NA,NA,NA,NA,NA
"beta[3]",2.78012416266667,2.78241,2.80054899126781,1149.6,0.95,2.47355,3.08401,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.000291640870469933,7.946775e-06,-4.17839538770504e-05,7292.6,0.95,-0.0520925,0.0550988,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.74946674133333,-3.745915,-3.73509827760605,1567.1,0.95,-3.88081,-3.62888,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.183967035046667,0.183868,0.183894185601941,12688.5,0.95,0.136129,0.230465,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.740299489933333,-0.737442,-0.736112627109961,677.1,0.95,-0.936599,-0.546593,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",1.11684698733333,1.117765,1.12505119447974,1149.6,0.95,0.9993,1.24454,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.0190833970912267,0.000519994,-0.0027472332115579,7292.6,0.95,-3.40865,3.60537,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.3631418551808,0.343744,0.145684208042967,15000,0.95,-3.45269,4.2967,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-0.509560793700467,-0.5019435,-0.185446518370625,15000,0.95,-4.43773,3.38633,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",-0.378667465335933,-0.3803005,-0.561289831866398,15000,0.95,-4.50246,3.34112,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",1.00732408595829,0.990816,0.88792752386399,15000,0.95,-2.92396,4.9011,NA,NA,NA,NA,NA,NA,NA
"delta0",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[1]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.341,0,0.00117594288277786,1135.1,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[5]",0.897533333333333,1,1.0008272396485,16306.9,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[6]",0.899733333333333,1,0.999900506911597,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[7]",0.8996,1,0.999957073814339,14653.5,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[8]",0.899133333333333,1,1.00015464735068,15000,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"guess",0.00318283822929249,0.002499615,0.00075124209015374,3496,0.95,7.51253e-08,0.00843374,NA,NA,NA,NA,NA,NA,NA
